DateTime;Smps Volume [nm3/cm3];SMPS Mass conc. [kg/m3];SMPS Mass conc. [ug/m3];Mass Equivalent diameter [nm];Median(nm);Mean(nm);Geo. Mean(nm);Mode(nm);Geo. Std. Dev.;Total Conc.(1/cm3)
44544.42674;2221898091;1.66642E-09;1.666423568;190.4555303;101.45;111.53;101.316;85.0526;1.55001;1773.73
44544.42951;28665940231;2.14995E-08;21.49945517;311.0332968;94.1187;112.279;97.3093;91.3982;1.66822;13900.3
44544.43229;1.10531E+11;8.28981E-08;82.89813599;296.4490738;72.6775;87.8573;73.634;68.539;1.78237;90999.1
44544.43507;1.44128E+11;1.08096E-07;108.0961452;282.4102806;72.1042;86.7392;72.867;76.3506;1.77792;128365
44544.43785;1.65016E+11;1.23762E-07;123.7622748;285.9726389;71.8533;86.5876;72.7545;68.539;1.77606;146056
44544.44063;1.74239E+11;1.30679E-07;130.6791646;288.9498936;71.5;86.3425;72.4409;71.0497;1.77989;153679
44544.4434;1.72159E+11;1.29119E-07;129.1192507;281.7602359;71.3451;86.1051;72.2866;71.0497;1.77958;155753
44544.44618;1.7448E+11;1.3086E-07;130.8597216;283.6220918;71.3302;85.9738;72.2596;66.1169;1.77457;157731
44544.44896;1.69364E+11;1.27023E-07;127.0228753;279.2893979;71.1018;85.6892;71.9796;68.539;1.77883;156851
44544.45174;2.21511E+11;1.66133E-07;166.1331782;284.0467217;70.8708;85.5186;71.636;66.1169;1.78605;200940
44544.45451;2.72748E+11;2.04561E-07;204.5608934;284.6375705;70.4205;85.309;71.3693;71.0497;1.78891;247422
44544.45729;2.95208E+11;2.21406E-07;221.4056873;284.779115;70.9467;85.9058;71.7819;68.539;1.79436;263447
44544.46007;3.08201E+11;2.31151E-07;231.1505617;287.9983229;71.0691;86.1494;71.9691;66.1169;1.7947;271500
44544.46285;3.14112E+11;2.35584E-07;235.5839379;287.8965348;71.344;86.5984;72.322;68.539;1.79406;272400
44544.46563;3.19582E+11;2.39687E-07;239.686742;289.3816312;71.3494;86.6776;72.3125;68.539;1.79722;274359
44544.4684;3.21263E+11;2.40947E-07;240.9468944;290.7952944;71.3543;86.8863;72.5412;66.1169;1.79422;273446
44544.47118;3.25521E+11;2.44141E-07;244.1408496;292.7814539;71.2894;86.6255;72.2437;76.3506;1.79667;277421
44544.47396;3.25846E+11;2.44385E-07;244.3845931;292.7542965;71.2718;86.5602;72.1648;68.539;1.79951;278310
44544.47674;3.2599E+11;2.44492E-07;244.4924714;289.748733;71.4158;86.7858;72.3953;68.539;1.79781;278550
44544.47951;3.32457E+11;2.49343E-07;249.3426288;293.6343958;71.3761;86.9054;72.3872;63.7804;1.80076;278765
44544.48229;3.25317E+11;2.43988E-07;243.9876573;290.2704666;71.509;86.8746;72.482;71.0497;1.79695;278144
44544.48507;2.26105E+11;1.69579E-07;169.5788255;286.2683789;71.9238;87.2065;72.887;68.539;1.79277;194413
44544.48785;1.58492E+11;1.18869E-07;118.8687374;285.3210249;71.9142;87.2161;72.9375;71.0497;1.79146;136560
44544.49063;1.3264E+11;9.94803E-08;99.480324;290.0733308;71.1965;86.4126;72.0557;71.0497;1.79887;114176
44544.4934;1.20772E+11;9.05786E-08;90.5786251;294.358307;69.4421;85.105;70.7964;66.1169;1.80149;104905
44544.49618;1.14347E+11;8.57606E-08;85.7605767;296.7356435;69.1737;84.3146;70.2411;68.539;1.7969;102382
44544.49896;1.10198E+11;8.26484E-08;82.64838725;290.0389364;69.2836;83.9999;69.8499;61.5265;1.80606;100670
44544.50174;1.14473E+11;8.58544E-08;85.85440955;297.4940444;68.9459;84.2001;70.099;68.539;1.79816;101542
44544.50451;1.11218E+11;8.34136E-08;83.41356532;288.5853245;68.7744;83.9223;69.9072;63.7804;1.7985;102335
44544.50729;1.14818E+11;8.61138E-08;86.11378016;292.9937088;69.1552;84.1311;70.1048;63.7804;1.79808;104102
44544.51007;1.15056E+11;8.62918E-08;86.29184612;292.3117258;69.3144;84.1331;70.0456;71.0497;1.80313;104438
44544.51285;1.20283E+11;9.0212E-08;90.2119544;297.2195613;69.5633;84.7338;70.5999;68.539;1.79729;105764
44544.51563;1.17928E+11;8.8446E-08;88.44602137;291.9622021;69.4403;84.6744;70.5823;61.5265;1.79593;105853
44544.5184;1.18371E+11;8.87785E-08;88.77848097;292.719711;69.3398;84.3555;70.2529;68.539;1.79934;106247
44544.52118;1.12006E+11;8.40045E-08;84.00451562;281.9536717;69.3011;83.7636;70.0413;61.5265;1.79176;107035
44544.52396;1.1931E+11;8.94827E-08;89.48265356;290.3747531;69.9752;84.9245;70.8739;63.7804;1.79644;107421
44544.52674;1.18483E+11;8.88619E-08;88.86191426;286.0722789;70.0214;84.8089;70.8965;73.6525;1.79193;108699
44544.52951;1.15991E+11;8.69934E-08;86.99338704;283.7355882;70.3713;85.607;71.2957;68.539;1.79614;109197
44544.53229;1.20107E+11;9.00803E-08;90.08033203;285.2732259;70.5243;85.2289;71.3288;61.5265;1.78918;109852
44544.53507;1.19871E+11;8.99034E-08;89.9034071;285.851177;70.5944;85.2143;71.3148;66.1169;1.78955;110292
44544.53785;1.23566E+11;9.26745E-08;92.67454058;289.3927227;70.9215;85.9142;71.7637;63.7804;1.79213;110066
44544.54063;1.20368E+11;9.02759E-08;90.27586181;278.9785883;70.964;85.8112;71.8243;66.1169;1.78892;110439
44544.5434;1.21937E+11;9.14531E-08;91.45306085;284.9301179;71.2199;85.7978;71.7797;63.7804;1.79276;110180
44544.54618;1.23178E+11;9.23836E-08;92.38362124;288.3819768;71.1306;86.4375;72.0646;68.539;1.79623;110140
44544.54896;1.2544E+11;9.408E-08;94.07997776;288.5623319;71.1192;86.1335;72.0552;66.1169;1.78969;110812
44544.55174;1.25788E+11;9.43413E-08;94.34134621;290.3865033;71.281;86.1787;72.0186;66.1169;1.79379;111627
44544.55451;1.48131E+11;1.11098E-07;111.0984837;293.6572964;73.8725;89.1843;74.4829;68.539;1.79816;119159
44544.55729;2.19893E+11;1.6492E-07;164.9195362;293.7576271;71.8404;86.9665;72.5367;68.539;1.79913;186205
44544.56007;2.64625E+11;1.98469E-07;198.4688699;296.0653505;73.31;88.705;74.1057;73.6525;1.79399;213458
44544.56285;2.79222E+11;2.09417E-07;209.4168351;291.197379;74.1232;89.4614;74.8911;71.0497;1.7899;225146
44544.56563;2.88581E+11;2.16436E-07;216.4358785;290.7057126;74.8339;90.2664;75.571;68.539;1.79143;228805
44544.5684;3.01558E+11;2.26168E-07;226.1684735;295.0051365;75.5136;91.1881;76.2742;71.0497;1.79328;230212
44544.57118;3.01231E+11;2.25923E-07;225.9233014;292.6208329;75.7908;91.3289;76.533;71.0497;1.78763;231611
44544.57396;3.09844E+11;2.32383E-07;232.382803;294.6827083;76.6675;92.2975;77.3949;82.047;1.78568;231785
44544.57674;3.21813E+11;2.4136E-07;241.359956;299.3450003;77.1301;93.022;77.8946;71.0497;1.78893;232629
44544.57951;3.31608E+11;2.48706E-07;248.7057819;300.4034939;78.2296;94.164;78.9983;79.1476;1.78302;232488
44544.58229;3.35342E+11;2.51506E-07;251.5064282;299.7449205;79.2186;95.4744;80.1158;79.1476;1.78362;228981
44544.58507;1.73443E+11;1.30082E-07;130.0820005;293.9282722;80.042;95.8194;80.8627;82.047;1.76803;121637
