end;AE33_BB;AE33_BC1;AE33_BC2;AE33_BC3;AE33_BC4;AE33_BC5;AE33_BC6;AE33_BC7;AE33_BC1_Abs_1_per_Mm;AE33_BC2_Abs_1_per_Mm;AE33_BC3_Abs_1_per_Mm;AE33_BC4_Abs_1_per_Mm;AE33_BC5_Abs_1_per_Mm;AE33_BC6_Abs_1_per_Mm;AE33_BC7_Abs_1_per_Mm;PMS1_Concentration_ug_per_m3;ComPAS_V4_BKG_Meas_Active;ComPAS_V4_Frequency_1_Hz;ComPAS_V4_Amplitude_1_uPa;ComPAS_V4_Phase_1_deg;ComPAS_V4_Integration_Time_1_us;ComPAS_V4_X1;ComPAS_V4_Y1;ComPAS_V4_Frequency_2_Hz;ComPAS_V4_Amplitude_2_uPa;ComPAS_V4_Phase_2_deg;ComPAS_V4_Integration_Time_2_us;ComPAS_V4_X2;ComPAS_V4_Y2;ComPAS_V4_Blue_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Blue_P_Mov_Avg_deg;ComPAS_V4_Green_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Green_P_Mov_Avg_deg;ComPAS_V4_Red_A_60s_Mov_Avg_Mm_1;ComPAS_V4_Red_P_Mov_Avg_deg;ComPAS_V4_T_Mean_C;ComPAS_V4_R_H_Mean_percent;ComPAS_V4_Pressure_Mean_bar;ComPAS_V4_PD1_Mean_V;ComPAS_V4_Laser_Red_On_per_Off;ComPAS_V4_Laser_Green_On_per_Off;ComPAS_V4_Laser_Blue_On_per_Off;ComPAS_V4_X1_VH;ComPAS_V4_Y1_VH;ComPAS_V4_Amplitude_1_VH_uPa;ComPAS_V4_Phase_1_VH_deg;ComPAS_V4_X2_VH;ComPAS_V4_Y2_VH;ComPAS_V4_Amplitude_2_VH_uPa;ComPAS_V4_Phase_2_VH_deg;ComPAS_V4_Blue_A_Mov_Avg_VH_uPa;ComPAS_V4_Blue_P_Mov_Avg_VH_deg;ComPAS_V4_Green_A_Mov_Avg_VH_uPa;ComPAS_V4_Green_P_Mov_Avg_VH_deg;ComPAS_V4_Red_A_Mov_Avg_VH_uPa;ComPAS_V4_Red_P_Mov_Avg_VH_deg;ComPAS_V4_R1_uPa;ComPAS_V4_Theta1_deg;ComPAS_V4_R2_uPa;ComPAS_V4_Theta2_deg;ComPAS_V4_R1_VH_uPa;ComPAS_V4_Theta1_VH_deg;ComPAS_V4_R2_VH_uPa;ComPAS_V4_Theta2_VH_deg;SMPS3080_Export_SMPS_Mass_conc_ug_per_m3;SMPS3080_Export_Mass_Equivalent_diameter_nm;SMPS3080_Export_Median_nm;SMPS3080_Export_Mean_nm;SMPS3080_Export_Geo_Mean_nm;SMPS3080_Export_Mode_nm;SMPS3080_Export_Geo_Std_Dev;SMPS3080_Export_Total_Conc_1_per_cm3;MSPTI_Metas_Export_MEDIAN_Babs_1_per_Mm;MSPTI_Metas_Export_MEAN_Babs_1_per_Mm;miniPTI_i;miniPTI_Phase_high_rad;miniPTI_Phase_low_rad;miniPTI_Probe_High_V;miniPTI_Probe_Low_V;miniPTI_Pump_High_V;miniPTI_Pump_Low_V;miniPTI_Boxcar_2_rad_per_V_Sa;miniPTI_Average_phase_rad;miniPTI_Quadrature_control_voltage_V;miniPTI_dphi_per_dt_rad_per_s;miniPTI_Lock_in_R;miniPTI_Lock_in_Phase_deg;miniPTI_I0_high_V;miniPTI_I0_Low_V;miniPTI_Lock_in_R_EW;miniPTI_Lock_in_Phase_EW_deg;miniPTI_X1;miniPTI_Y1;miniPTI_X2;miniPTI_Y2;miniPTI_X3;miniPTI_Y3;miniPTI_Norm_Paper_dPhi_2_PL_V;miniPTI_Paper_dPhi_2_V;miniPTI_Norm_Paper_dPhi_2_V;miniPTI_Norm_AC_phase_1_deg;miniPTI_Norm_AC_phase_2_deg;miniPTI_Norm_AC_phase_3_deg;miniPTI_Norm_DC1_V;miniPTI_Norm_DC2_V;miniPTI_Norm_DC3_V;miniPTI_Lock_in_Norm_R;miniPTI_Lock_in_Norm_Phase_deg;miniPTI_Normalised_phase_rad;miniPTI_Ernest_new_rad;miniPTI_Ableitung_Norm_Phase_rad_per_s;miniPTI_Ableitung_Norm_Phase_high_res_rad_per_s;miniPTI_AC_gain;miniPTI_Norm_dphi2_X;miniPTI_Norm_dphi2_Y;miniPTI_Norm_dphi2_R;miniPTI_Norm_dphi2_phase;miniPTI_Norm_dphi2_projected_R;miniPTI_PLL_LI_test_standard;miniPTI_PLL_LI_test_norm;miniPTI_Norm_D1X;miniPTI_Norm_D1Y;miniPTI_Norm_D2X;miniPTI_Norm_D2Y;miniPTI_Norm_D3X;miniPTI_Norm_D3Y;miniPTI_DC_D1_con_scaled_V;miniPTI_DC_D2_con_scaled;miniPTI_DC_D3_con_scaled;miniPTI_dphi2_R_Vect
2021-12-14 10:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22080.999952;7.640948248;36.864123587;1000000.0;-118.430939227;114.08839779;22080.999952;5.899947259;40.754241095;1000000.0;-20.121546961;-4.187845304;0.0;0.0;0.0;0.0;0.0;0.0;18.58379558;17.540430939;0.0;0.0;0.0;0.0;0.0;-118.430939227;114.08839779;7.640948248;36.864123587;-20.121546961;-4.187845304;5.899947259;40.754241095;0.0;0.0;0.0;0.0;0.0;0.0;0.7657551726830125;136.0699341317697;0.09570610595536194;-168.24301969281711;0.7657551726830125;136.0699341317697;0.09570610595536194;-168.24301969281711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;22080.999952;7.431299827;8.998252381;1000000.0;0.929765886;-21.662207358;22080.999952;6.484356941;50.120277562;1000000.0;-3.565217391;-18.658862876;0.0;0.0;0.0;0.0;0.0;0.0;18.688264214;17.259918618;0.0;0.0;0.0;0.0;0.0;0.929765886;-21.662207358;7.431299827;8.998252381;-3.565217391;-18.658862876;6.484356941;50.120277562;0.0;0.0;0.0;0.0;0.0;0.0;0.10096538563572428;-87.54231026854183;0.08845896975378234;-100.81732871039789;0.10096538563572428;-87.54231026854183;0.08845896975378234;-100.81732871039789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:10:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.344411765;0.0;22080.999952;7.513197533;18.847564764;1000000.0;29.561461794;46.049833887;22080.999952;6.250323866;42.284350239;1000000.0;-13.086378738;0.976744186;0.0;0.0;0.0;0.0;0.0;0.0;18.844748616;17.898673311;0.0;0.0;0.0;0.0;0.0;29.561461794;46.049833887;7.513197533;18.847564764;-13.086378738;0.976744186;6.250323866;42.284350239;0.0;0.0;0.0;0.0;0.0;0.0;0.2548178906651212;57.30176759795208;0.061107703218138076;175.73145900469765;0.2548178906651212;57.30176759795208;0.061107703218138076;175.73145900469765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.134146667;1.0;23408.412769651;8.916875195;-0.441733363;999997.066445183;337.451827243;-482.162790698;20936.256259591;715.819599436;46.412640432;999990.877076412;-122147.92358804;-87920.561461794;0.0;0.0;0.0;0.0;0.0;0.0;19.005227021;19.190285714;0.0;0.0;0.0;0.129568106;0.099667774;-448.182724252;142.249169435;6.903643559;17.462381159;-433.554817276;79.405315615;4.932718125;37.368528098;0.0;0.0;0.0;0.0;0.0;0.0;2.740505464317119;-55.01293480613287;700.8185412848313;-144.2541281052262;2.189611372573089;162.39102946740005;2.052478304006607;169.62133702310956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:20:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.277053156;1.0;27866.84664772;18.799982079;-52.497803468;999981.19;2959.166666667;-1523.406666667;17085.16327803;3284.639893097;29.783272346;999972.703333333;-611746.066666667;-350256.76;20.865769482839607;-36.399463418;18.828824772118228;-43.159160787;0.0;0.0;19.186138889;18.7002;0.0;0.0;0.0;0.486666667;0.513333333;-1767.0;698.0;4.196445375;25.996377251;-1894.0;351.0;0.358680122;-1.487867529;0.0;0.0;0.0;0.0;0.0;0.0;15.498502731140169;-27.239833137971917;3282.5423262663026;-150.2065958331187;8.846943146840294;158.44499836783288;8.96979805376977;169.5009403121868;8.277434102;230.648119133;99.006233333;111.779666667;99.980433333;87.1678;1.589413333;5815.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:25:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104.90635;1.0;27866.076395737;193.882890361;15.28779438;999984.720394737;40208.190789474;11362.516447368;17084.692521974;3439.266607618;29.737932689;999975.661184211;-641396.680921053;-366348.444078947;332.73923842467656;12.326953715;288.1534159073867;12.041709205;0.0;0.0;19.35539364;10.904740132;0.0;0.0;0.0;0.503289474;0.496710526;40085.651315789;11349.763157895;193.413050039;15.408842703;-637285.157894737;-363947.207236842;3417.034861527;29.529635636;151.781126714;12.343700162;140.671025333;12.174979641;0.0;0.0;194.56649212371258;15.779871946324795;3439.5978386541883;-150.26616011694492;194.00125271086512;15.808822760951545;3417.427059454149;-150.26974269094322;52.19879558;303.7411853;83.3981;100.06815;85.47165;79.9686;1.725295;52449.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-12-14 10:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222.417803333;0.0;27870.12305428;334.837309716;16.7231044;999979.088815789;68955.203947368;20687.894736842;17087.187022339;3515.59166274;29.635049007;999967.717105263;-656260.226973684;-373328.319078947;717.0153201154185;16.865660628;616.4184535279286;16.596328958;0.0;0.0;19.567349781;7.268093202;0.0;0.002779828;0.0;0.503289474;0.496710526;68955.203947368;20687.894736842;334.837309716;16.7231044;-656260.226973684;-373328.319078947;3515.59166274;29.635049007;327.543633749;16.865660628;301.162325069;16.596328958;0.0;0.0;335.2376151101496;16.70026080316765;3515.824499858994;-150.36564768924117;335.2376151101496;16.70026080316765;3515.824499858994;-150.36564768924117;99.696808797;287.089878333;72.2953;87.1119;73.122666667;73.746733333;1.779403333;115909.7;0;0;155.0;-1.162461794;-1.162425249;5.128305648;5.128272425;0.020131894;5.9404e-05;8.718e-06;-1.162458472;0.5;9.616e-06;1.5e-08;-75.192491694;-0.055417276;-0.05560897;4.876e-06;203.267674419;1.15e-07;-1.301e-06;3.8e-08;-9.6e-08;-1.53e-07;1.397e-06;-3.168e-06;-1.689e-06;-3.512e-06;118.271760797;249.977162791;140.628737542;0.570172757;0.073395083;-0.643578073;1.64e-06;169.961461794;0.61532186;1.002e-06;0.023169076;0.004992171;1000.0;6.5e-08;-8.53e-07;1.25e-06;-1.329729568;6.5e-08;-2.523e-06;-1.248e-06;-5.8e-08;4.84e-07;7e-08;-7.55e-07;-1.2e-08;2.72e-07;0.692877076;0.04742749;0.74961794;2.208e-06
2021-12-14 10:35:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267.721746667;0.0;27875.994232748;390.041810739;15.982110957;999981.612582782;80537.956953642;23048.493377483;17090.790480195;3535.517923361;29.579398625;999972.139072848;-660320.516556291;-374760.334437086;871.7214708599947;16.441191455;749.0416536592463;16.058528912;0.0;0.0;19.791572848;5.375895143;0.0;0.40591826;0.0;0.506622517;0.493377483;80537.956953642;23048.493377483;390.041810739;15.982110957;-660320.516556291;-374760.334437086;3535.517923361;29.579398625;398.215784478;16.441191455;365.957775434;16.058528912;0.0;0.0;390.08953712661105;15.970155103241503;3535.5576429191306;-150.42322286882322;390.08953712661105;15.970155103241503;3535.5576429191306;-150.42322286882322;122.304068167;285.875121633;71.836233333;86.572016667;72.720983333;70.259383333;1.777008333;144378.0;0;0;455.0;0.072258538;0.072295382;5.162923588;5.162923588;0.019721595;5.6234e-05;-5.797e-06;0.072275781;0.5;1.5911e-05;2.2e-08;-87.14939103;-0.046811628;-0.047036877;6.903e-06;170.878006645;-7.8e-08;5.5e-07;3.8e-08;-2.537e-06;3.9e-08;1.987e-06;-4.742e-06;-3.173e-06;-5.736e-06;91.896578073;237.617388704;259.72166113;-0.175767595;0.744833887;-0.569039867;2.164e-06;94.363853821;1.797674419;1.312e-06;0.01268476;0.002697071;1000.0;7e-09;-1.284e-06;1.674e-06;-1.528802326;7e-09;-4.162e-06;-1.875e-06;1.4e-08;1.145e-06;-5.7e-08;-1.96e-07;4.3e-08;-9.5e-07;0.990262458;0.298517608;0.233215947;3.353e-06
2021-12-14 10:40:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281.432216667;1.0;27883.659093438;180.437597837;-22.87847424;999981.747603834;36562.581469649;8372.92971246;17095.493459783;3504.297032335;29.609169104;999973.888178914;-654203.150159744;-371722.619808307;602.334990093441;-20.445669693;478.4728197840148;-10.740160294;0.0;0.0;20.015757189;4.886185304;0.0;0.406143523;0.0;0.511182109;0.488817891;87613.584664537;22994.31629393;420.324771055;14.604964655;-658568.309904153;-374367.236421725;3528.733412914;29.473405174;423.439910731;15.625764564;386.783885083;15.144964945;0.0;0.0;174.66509304422368;12.898482273278564;3503.801720743863;-150.39447111364134;421.7996543265883;14.705703901643336;3527.5588208897498;-150.38366651323167;130.1591933;286.553341033;71.448366667;86.263366667;72.389466667;71.0497;1.779786667;154370.333333333;0;0;755.0;1.41707309;1.417076412;5.139833887;5.139833887;0.019439867;5.7328e-05;-7.313e-06;1.417046512;0.5;6.869e-06;1.9e-08;-43.375481728;-0.043507309;-0.043687375;6.497e-06;174.782026578;-4.57e-07;1.644e-06;2.15e-07;-1.244e-06;2.41e-07;-4e-07;-3.291e-06;-1.993e-06;-4.175e-06;163.328438538;137.301827243;229.662225914;-0.747009967;0.377109444;0.369923588;2.086e-06;133.129368771;-0.209671096;1.246e-06;-0.081963854;-0.016652238;1000.0;2.11e-07;-9.2e-07;1.764e-06;-0.754173754;2.11e-07;-2.688e-06;-1.316e-06;2.9e-08;1.03e-07;-1.7e-07;6.73e-07;1.42e-07;-7.76e-07;0.580870432;0.877159468;0.050340236;2.906e-06
2021-12-14 10:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;285.70732;1.0;27890.942046255;241.29232213;-18.409270771;999983.658940397;49885.11589404;11707.940397351;17099.958581311;3487.544361599;29.576395914;999969.493377484;-651343.927152318;-369626.59602649;318.2969616423271;-57.790715061;310.47246910543595;-62.778025558;0.0;0.0;20.236387417;4.00213245;0.0;0.398426046;0.0;0.496688742;0.503311258;88044.059602649;22411.98013245;421.68109906;14.160963521;-655133.314569536;-372488.715231788;3510.487693778;29.481147268;384.317691319;15.852424531;362.013769744;15.461261848;0.0;0.0;238.60770882071392;13.208156105000326;3487.4042910009152;-150.42582691189713;423.0617567958861;14.281563250964584;3509.3301823288894;-150.3787673788885;129.98948615;282.69116385;71.33765;86.03945;72.2731;68.5833;1.777075;156742.0;0;0;1055.0;2.124784053;2.124817276;5.112591362;5.112591362;0.019243854;5.4063e-05;2.0025e-05;2.124817276;0.5;1.2643e-05;2.2e-08;-42.018289037;-0.040604963;-0.040780206;7.392e-06;181.921993355;-1.02e-07;1.309e-06;1.9e-08;3.35e-07;8.3e-08;-1.645e-06;-3.111e-06;-2.237e-06;-4.077e-06;221.78179402;143.506584718;189.650571429;-0.545353156;-0.146999462;0.692362126;2.295e-06;190.550936877;-2.335528239;1.33e-06;0.023014942;0.005134199;1000.0;2e-08;-8.78e-07;1.869e-06;-0.657846844;2e-08;-2.862e-06;-1.241e-06;4e-09;-5.84e-07;2.1e-08;7.07e-07;-2.5e-08;-1.23e-07;0.253203;0.959358804;0.272815947;3.328e-06
